pair_id,label,note
CO001,DIFFERENT,"R5 same name, different cities"
CO002,SAME,"R4 same name, same city, different street"
CO003,SAME,R4 same city; ZIP mismatch is a data error (P2)
CO004,SAME,"R4 same city, street vs PO box"
CO005,DIFFERENT,"R5 same name, different cities"
CO006,SAME,"R2 typo INDPENDENCE, same address"
CO007,SAME,"R4 same city, different street"
CO008,SAME,"R4 same city, different street"
CO009,SAME,"R0 same address, formatting only (P1)"
CO010,SAME,"P1 CNTY RD = COUNTY ROAD, same address"
CO011,SAME,"R4 same city, different street"
CO012,SAME,"P1 DR vs ROAD, same number and city"
CO013,SAME,R3/P4 blank address is not evidence; same name
CO014,DIFFERENT,"R5 same name, different cities"
CO015,SAME,same street and ZIP; city is a data error (P3)
CO016,SAME,"R0 same address, suite formatting only"
CO017,DIFFERENT,"R5 same name, different cities"
CO018,SAME,"R4 same city, different street"
CO019,SAME,"R4 same city, different street"
CO020,SAME,"P1 same address, WELD CR 6; suffix noise (R3)"
CO021,DIFFERENT,"R5 same name, different cities/states"
CO022,DIFFERENT,"R5 same name, different cities"
CO023,DIFFERENT,"R5 same name, different cities"
CO024,DIFFERENT,"R5 same name, different cities"
CO025,SAME,"R4 same city, different street"
CO026,DIFFERENT,"R5 same name, different cities/states"
CO027,SAME,"R0 same address, unit suffix only"
CO028,DIFFERENT,"R5 same name, different cities"
CO029,SAME,"P4 b address is a DBA line, not an address; same name and city"
CO030,DIFFERENT,"R5 same name, different cities"
CO031,SAME,P4 b address is a DBA line; same name and city
CO032,DIFFERENT,"R5 same name, different cities"
CO033,SAME,"P1 E = EAST, # D = STE D, same address"
CO034,DIFFERENT,"R5 same name, different cities"
CO035,SAME,"P1 2ND = SECOND, same address"
CO036,SAME,"R2 typo TELLRIDE, same address"
CO037,SAME,"P4 blank address; same name, suffix punctuation only"
CO038,DIFFERENT,"R5 same name, different cities"
CO039,DIFFERENT,"R5 same name, different cities"
CO040,DIFFERENT,"R5 same name, different cities"
CO041,SAME,"R4 same city, different street number"
CO042,DIFFERENT,R1 plainly different firms
CO043,DIFFERENT,"R1 different names, different cities"
CO044,SAME,"P1 WCR 80 = WELD COUNTY ROAD 80, same address"
CO045,SAME,"R2 truncation, same PO box"
CO046,SAME,"R2 truncation/suffix, same corporate name"
CO047,DIFFERENT,"R1 different names, different cities"
CO048,DIFFERENT,R1 plainly different firms
CO049,DIFFERENT,R1 plainly different firms
CO050,DIFFERENT,R1 plainly different firms
CO051,SAME,R2 truncation; parenthetical contact only
CO052,DIFFERENT,R1 plainly different firms
CO053,DIFFERENT,"R1 different names, different cities"
CO054,DIFFERENT,R1 plainly different firms
CO055,DIFFERENT,"R1 concrete vs construction, different firms"
CO056,DIFFERENT,R1 plainly different firms
CO057,DIFFERENT,R1 finance corp vs credit union
CO058,SAME,R2 truncation at an identical address
CO059,SAME,R2 typos on both sides of one name
CO060,DIFFERENT,"R1 different names, different cities"
CO061,SAME,"R2 BROS = BROTHERS, same address"
CO062,DIFFERENT,R1 plainly different firms
CO063,DIFFERENT,"R1 different names, different cities"
CO064,DIFFERENT,"R1 designscapes vs dreamscapes, different cities"
CO065,DIFFERENT,"R1/R5 qualified name, different cities"
CO066,DIFFERENT,R1 plainly different firms
CO067,SAME,"R2/R4 name extension, same city and ZIP"
CO068,DIFFERENT,"R1 different names, different cities"
CO069,DIFFERENT,"R1 different names, different cities"
CO070,DIFFERENT,"R1 concrete vs construction, different cities"
CO071,DIFFERENT,R1 plainly different firms
CO072,DIFFERENT,R1 plainly different firms
CO073,DIFFERENT,"R1 different names, different cities"
CO074,SAME,"R2/R3 same name plus corporation clause, same ZIP"
CO075,DIFFERENT,R1 plainly different firms
CO076,DIFFERENT,R1 plainly different firms
CO077,DIFFERENT,R1 plainly different firms
CO078,DIFFERENT,R1 plainly different firms
CO079,DIFFERENT,"R1 Stroh vs Strohauer, different cities"
CO080,DIFFERENT,R1 plainly different firms
CO081,DIFFERENT,R1 plainly different firms
CO082,DIFFERENT,"R1 steel vs stone, different cities"
CO083,DIFFERENT,R1 plainly different firms
CO084,DIFFERENT,R1 plainly different firms
CO085,DIFFERENT,R1 plainly different firms
