pair_id,a_name,a_address,a_city,a_state,a_zip,b_name,b_address,b_city,b_state,b_zip,label,note
P001,COOPERS CONST,P.O. BOX 2504,DURANGO,CO,81302,COOPERS CONSTRUCTION,PO BOX 2504,DURANGO,CO,81302,,
P002,OMEGA MARKETING,4475 E 50TH AVE,DENVER,CO,80216,OMEGA MARKETING,4475 E 70TH AVE,DENVER,CO,80216,,
P003,NORWEST BANK COLORADO,129 SOUTH 3RD STREET,STERLING,CO,80751,FIRST SECURITY BANK,201 SOUTH THIRD STREET,STERLING,CO,80751,,
P004,INTERNATIONAL KINGS TABLE 105,740 PEORIA ST,AURORA,CO,80011,GILCHRIST FOOD GROUP,740 PEORIA ST,AURORA,CO,80011,,
P005,VECTRA BANK COLORADO NATIONAL ASSOCIATION,1200 S. TOWNSEND,MONTROSE,CO,81401,VECTRA BANK COLORADO NATIONAL ASSOCIATION,1200 S TOWNSEND,MONTROSE,CO,81401,,
P006,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,81137,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,802748625,,
P007,VECTRA BANK,1380 S. FEDERAL BLVD.,DENVER,CO,80219,VECTRA BANK COLORADO,1380 S FEDERAL BLVD,DENVER,CO,80219,,
P008,THE FIRST SECURITY BANK,PO BOX 525,BRUSH,CO,80723,BANK OF COLORADO,PO BOX 525,BRUSH,CO,80723,,
P009,VECTRA BANK COLORADO NATIONAL ASSO,1990 WEST 10TH AVENUE,BROOMFIELD,CO,80020,VECTRA BANK COLORADO NATIONAL ASSOC,1990 W 10TH AVE,BROOMFIELD,CO,80020,,
P010,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80487,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80011,,
P011,MONTROSE LITTLE LEAGUE,PO BOX 321,MONTROSE,CO,81402,AMERIDOR MANUFACTURING,PO BOX 3250,MONTROSE,CO,81402,,
P012,PETERSON SHELLY,19787 COUNTY RD 44,BURLINGTON,CO,80807,PETERSON BROS,19787 COUNTY RD. 44,BURLINGTON,CO,80807,,
P013,LEY HENRY JR,25018 WELD COUNTY ROAD 49,GREELEY,CO,80631,LEY BARBARA,25018 WELD COUNTY ROAD 49,GREELEY,CO,80631,,
P014,METCALF EXCAVATION,"73 SIPPRELLE DR., SUITE F,",PARACHUTE,CO,81635,METCALF EXCAVATION,"73 SIPPRELLE DR., SUITE F",PARACHUTE,CO,81635,,
P015,WOLF MOUNTAIN PIZZA,PO BOX 1395,HAYDEN,CO,81639,DBA GROUNDHOG CAFE,PO BOX 311,HAYDEN,CO,81639,,
P016,KENS WAREHOUSE LIQUOR,7817 PARK MEADOWS DR.,LONE TREE,CO,80124,SABLICH ENTERPRISES,7817 PARK MEADOWS DR.,LONE TREE,CO,80124,,
P017,MAJESTIC CUSTOM HOMES,5405 ROUNDUP DRIVE,COLORADO SPRINGS,CO,80918,MAJESTIC CUSTOM HOMES,5405 ROUNUP DR.,COLORADO SPRINGS,CO,80918,,
P018,STERLING PCA FORT MORGAN,225 E RAILROAD,FORT MORGAN,CO,80701,STERLING PRODUCTION CREDIT ASSOCIAT,225 E RAILROAD AVE,FORT MORGAN,CO,80701,,
P019,DISCOVERY BUSINESS FORMS,7860 W 16TH AVE,LAKEWOOD,CO,80215,BUSINESS PRINTING,7860 W 16TH AVE,LAKEWOOD,CO,80215,,
P020,COLORADO BUSINESS BANK,821 17TH STDET BLVD,DENVER,CO,80202,CITY AND COUNTY OF DENVER MAYOR S OFFICE OF ECONOMIC DEVELOPMENT AND INTERNATIONAL TRADE,216 16TH STREET  #1000,DENVER,CO,80202,,
P021,Y AND K EXCAVATION,309 BLAKE ST,SALIDA,CO,81201,Y AND K EXCAVATION,309 BLAKE ST.,SALIDA,CO,81201,,
P022,NANCY L HEATH,33653 CO. RD. 20,WRAY,CO,80758,PHILIP E HEATH,33653 CO. RD. 20,WRAY,CO,80758,,
P023,ROTH SHEILA A,ROUTE 2,STERLING,CO,80751,KLINZMANN LISA L,ROUTE 2,STERLING,CO,80751,,
P024,COLORADO EAST BANK AND TRUST,401 S. MAIN ST.,LAMAR,CO,81052,COLORADO EAST BANK AND TRUST,401 S. MAIN,LAMAR,CO,81052,,
P025,LEAD PROPERTIES,4601 DTC BLVD #130,DENVER,CO,80237,LEAD PROPERTIES II,4601 DTC BLVD #130,DENVER,CO,80237,,
P026,GAREY CRAIG,3333 S PLATTE RIVER DR,ENGLEWOOD,CO,80110,GAREY MAINTENANCE SYSTEMS,3333 S PLATTE RIVER DR,ENGLEWOOD,CO,80110,,
P027,BI HOLDINGS,430 ENSIGN ST,FORT MORGAN,CO,80701,BI HOLDINGS,430 ENSIGN,FORT MORGAN,CO,80701,,
P028,HUDYE FARMS US,P.O. BOX 186,BURLINGTON,CO,80807,HUDYE FARMS US,BOX 186,BURLINGTON,CO,80807,,
P029,FRONTIER ENVIRONMENTAL SERVICES,"5350 VIVIAN STREET, UNIT B,",ARVADA,CO,80002,FRONTIER ENVIRONMENTAL SERVICES,"5350 VIVIAN STREET, UNIT B",ARVADA,CO,80002,,
P030,SUMMIT INDUSTRIES,PO BOX 1546,MEEKER,CO,81641,SUMMIT INDUSTRIES,PO BOX MM,MEEKER,CO,81641,,
P031,NORWEST BANK STERLING,P O BOX 1592,STERLING,CO,80751,NORWEST BANK STERLING,129 S THIRD ST,STERLING,CO,80751,,
P032,THE TEN BAR RANCH LIMITED PARTNERSHIP LLLP,15403 CR 41.7,WESTON,CO,81091,FOREST MANAGEMENT,15403 COUNTY RD 41.7,WESTON,CO,81091,,
P033,EAGLEPOINTE VENTURE,"101 N. CASCADE AVENUE, STE 300",COLORADO SPRINGS,CO,80903,EAGLEPOINTE VENTURE,101 N. CASCADE AVE. STE. 300,COLORADO SPRINGS,CO,80903,,
P034,NORWEST BANK COLO SPRINGS,90 S CASCADE,COLO SPRINGS,CO,80906,NORWEST BANK COLORADO,90 S CASCADE AVE,COLO SPRINGS,CO,80906,,
P035,FROGURT,7777 E HAMPDEN AVE,DENVER,CO,80231,ALASKAN SCRIMSHAW AND IVORY,7777 E HAMPDEN AVE,DENVER,CO,80231,,
P036,ROSKOP KENNETH L,127 W. 3RD STREET,WRAY,CO,80758,ROSKOP JOAN F,127 W. 3RD STREET,WRAY,CO,80758,,
P037,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,81004,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80726,,
P038,KAUK RODNEY,25380 COUNTY RD T.5,BRUSH,CO,80723,KAUK KATHY L,25380 COUNTY RD T.5,BRUSH,CO,80723,,
P039,RTB DENVER AVE,1769 ROCKY MOUNTAIN AVE,LOVELAND,CO,80538,RTB THOMPSON VALLEY,1769 ROCKY MOUNTAIN AVE,LOVELAND,CO,80538,,
P040,MCCALL JUDY,13715 ELMORE RD,LONGMONT,CO,80504,MCCALL JUDITH,13715 ELMORE RD,LONGMONT,CO,80504,,
P041,RAPID PRODUCTION TOOLING,265 BUNYAN,BERTHOUD,CO,80513,RAPID PRODUCTION TOOLING,265 BUNYAN AVENUE,BERTHOUD,CO,80513,,
P042,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,81004,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80726,,
P043,SCHULTE MARY J,28115 COUNTY RD U,STRATTON,CO,80836,SCHULTE ALLEN J,28115 COUNTY RD U,STRATTON,CO,80836,,
P044,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80026,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80918,,
P045,FRONTIER ENVIRONMENTAL SERVICES,5171 WARS ROAD UNIT 1,WHEATRIDGE,CO,80033,FRONTIER ENVIRONMENTAL SERVICES,5171 WARD ROAD UNIT 1,WHEATRIDGE,CO,80033,,
P046,BRESSCO,405 8TH ST SE,LOVELAND,CO,80538,LAMBERT JAMES A,405 8TH ST SE,LOVELAND,CO,80538,,
P047,CRYSTAL CLEAR CAR WASH,3204 E RD,GRAND JCT CO 81504,,,CRYSTAL CLEAR CAR WASH ETAL,3204 E RD,GRAND JCT CO 81504,,,,
P048,REFLECTIONS HOME BUILDING,"7750 NORTH UNION BLVD, SUITE 103",COLORADO SPRINGS,CO,80920,REFLECTIONS HOME BUILDING,"7750 NORTH UNION BLVD., SUITE 103",COLORADO SPRINGS,CO,80920,,
P049,LEYBA FELISA,27968 FRONTAGE ROAD,LA JUNTA,CO,81050,LEYBA FELISA,27968 FRONTAGE RD,LA JUNTA,CO,81050,,
P050,COLORADO COMMUNITY BANK,,JOHNSTOWN,CO,80534,COLORADO COMMUNITY BANK,10 ANGOVE AVENUE/PO BOX 67,JOHNSTOWN,CO,80534,,
P051,S AND S HOMES,1821AUSTIN BLUFFS PKWY,COLORADO SPRINGS,CO,80918,S AND S HOMES LLCQ,1821 AUSTIN BLUFFS PARKWAY,COLORADO SPRINGS,CO,80918,,
P052,RMBC INTERQUEST LLLP,257 E FOUNTAIN BLVD. #100,COLORADO SPRINGS,CO,80903,RMBC INTERQUEST LLLP,257 E FOUNTAIN BLVD #100,COLORADO SPRINGS,CO,80903,,
P053,SEIFERT TRUCKING,PO BOX 305,WESTCLIFFE,CT,81252,SEIFERT TRUCKING,PO BOX 210,WESTCLIFFE,CO,81252,,
P054,ALLIANCE LEASING,2075 S. UNIVERISTY #289,DENVER,CO,80210,ALLIANCE LEASING,"2075 SOUTH UNIVERSITY, #289",DENVER,CO,80210,,
P055,TEAM PANELS INTERNATIONAL,1600 WEST HARVARD AVENUE,ENGLEWOOD,CO,80110,T E A M PANELS INTERNATIONAL,1600 W HARVARD,ENGLEWOOD,CO,80110,,
P056,BASSETT FARMS,0736 E HWY 112,CENTER,CO,81125,BASSETT FARMS,0736 E HWY 112,CENTER,CO,81125,,
P057,HASART JEROLD G,35725 CO RD CC,STRATTON,CO,80836,HASART JEROLD G,35725 COUNTY RD CC,STRATTON,CO,80836,,
P058,BANK OF CHERRY CREEK,3033 EAST FIRST AVE,DENVER,CO,80206,BANK OF CHERRY CREEK,3033 E FIRST AVE,DENVER,CO,80206,,
P059,RUSLER PRODUCE,PO BOX 69,AVONDALE,CO,81022,WRIGHT BURTON,PO BOX 69,AVONDALE,CO,81022,,
P060,SEGELKE SHIRLEY,13043 CO RD 55,HILLROSE,CO,80733,SEGELKE BURLIE E,13043 RD 55,HILLROSE,CO,80733,,
P061,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,68510,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,81501,,
P062,BANK OF COLORADO,421 NORTH TEJON STREET SUITE 200,COLORADO SPRINGS,CO,80903,BANK OF COLORADO,421 NORTH TEJON ST,COLORADO SPRINGS,CO,80903,,
P063,DANIELS CONSTRUCTION,201 W. WASHINGTON,LAMAR,CO,81052,DANIELS CONSTRUCTION,201 EAST WASHINGTON,LAMAR,CO,81052,,
P064,FARM CREDIT SERVICES OF NORTHEAST COLORADO,PO BOX 551,STERLING,CO,80751,FARM CREDIT BANK OF WICHITA,PO BOX 551,STERLING,CO,80751,,
P065,NORWEST CREDIT,1740 BROADWAY,DENVER,CO,80274,WELLS FARGO BANK TEXAS,1740 BROADWAY,DENVER,CO,80274,,
P066,CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO,6374 S RACINE CIRCLE,CENTENNIAL,CO,80111,CASTLEROCK CONSTRUCTION COMPANY COLORADO,6374 S. RACINE CIRCLE,CENTENNIAL,CO,80111,,
P067,KEYBANK NATIONAL ASSOCIATION,9250 S ARAPAHOE RD,ENGLEWOOD,CO,80112,KEYBANK NATL ASSOC,9250 S ARAPAHOE RD.,ENGLEWOOD,CO,80112,,
P068,USAFHA,4302 W 9TH ST RD,GREELEY,CO,80634,NEW WEST BANK,3459 W 20TH ST,GREELEY,CO,80634,,
P069,STEDMAN JEFF,33353 HWY 194,LA JUNTA,CO,81050,STEDMAN JANELLE,33353 HIGHWAY 194,LA JUNTA,CO,81050,,
P070,MONTROSEBANK,200 NO. TOWNSEND AVE,MONTROSE,CO,81401,MONTROSEBANK,200 NORTH TOWNSEND AVENUE,MONTROSE,CO,81401,,
P071,COLORADO NATIONAL BANK,950 17TH ST STE 2450,DENVER,CO,80202,U S BANK NATIONAL ASSOCIATION,950 17TH STREET #650,DENVER,CO,80202,,
P072,GROVES CUSTOM WORK,0085 CO RD X,ORCHARD,CO,80649,GROVES CUSTOM WORK,0085 COUNTY RD X,ORCHARD,CO,80649,,
P073,NORWEST BANK OF COLORADO NATL,90 S. CASCADE AVE,COLORADO SPRINGS,CO,80903,ANB BANK,102 N CASCADE AVE,COLORADO SPRINGS,CO,80903,,
P074,JIMMIE D PETRIE,24400 COUNTY LANE 3,OLNEY SPRINGS,CO,81062,PETRIE JIMMIE D,24400 COUNTY LANE 3,OLNEY SPRINGS,CO,81062,,
P075,DIVERSIFIED EXCAVATING,1717 WASHINGTON AVE,GOLDEN,CO,80401,DIVERSIFIED EXCAVATING,1717 WASHINGTON AVE.,GOLDEN,CO,80401,,
P076,BOWL FORT COLLINS,217 W HORSETOOTH ROAD,FORT COLLINS,CO,80525,BOWL FORT COLLINS,217 W HORSETOOTH RD,FORT COLLINS,CO,80525,,
P077,TRIAD WESTERN CONSTRUCTORS,512 N. BROADWAY,CORTEZ,CO,81321,FOUR STATES AGGREGATES,512 N. BROADWAY,CORTEZ,CO,81321,,
P078,CUCUZZA CONSTRUCTION,11580 B LACK FOREST ROAD #10,COLORADO SPRINGS,CO,80908,CUCUZZA CONSTRUCTION,11580 BLACK FOREST ROAD #10,COLORADO SPRINGS,CO,80908,,
P079,BIGELOW JANET KERKMAN,57451 CO RD C,CENTER,CO,81125,JB FARMS,57451 COUNTY RD C,CENTER,CO,81125,,
