pair_id,a_name,a_address,a_city,a_state,a_zip,b_name,b_address,b_city,b_state,b_zip,label,note
B001,COLORADO BUSINESS BANK,101 W. MINERAL AVE.,LITTLETON,CO,80120,COLORADO BUSINESS BANK,2409 WEST MAIN ST.,LITTLETON,CO,80120,,
B002,FARM CREDIT NE CO PCA,"225 E RAILROAD AV, PO BOX 1097",FORT MORGAN,CO,80701,FARM CREDIT NE COLO FLCA,PO BOX 1097,FORT MORGAN,CO,80701,,
B003,WELLS FARGO BANK,1740 BROADWAY,DENVER,CO,80274,WELLS FARGO BROKERAGE SERVICES,1740 BROADWAY (#1098-002),DENVER,CO,80274,,
B004,THE FIRST NATIONAL BANK OF AKRON,PO BOX S,AKRON,CO,80720,FIRST NATL BNK OF AKRON,POB S,AKRON,CO,80720,,
B005,NORWEST BANK COLO,1740 BROADWAY,DENVER,CO,80274,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80239,,
B006,VECTRA BANK COLORADO,"717 17TH ST, #300",DENVER,CO,80217,BANK ONE COLORADO,1125 17TH STR,DENVER,CO,80217,,
B007,CENTENNIAL BANK OF THE WEST,1401 SOUTH TAFT,LOVELAND,CO,80537,CENTENNIAL BANK OF THE WEST,1401 S TAFT AVE,LOVELAND,CO,80537,,
B008,COLORADO EAST BANK AND TRUST,401S MAIN,LAMAR,CO,81052,COLROADO EAST BANK AND TRUST,401 S. MAIN ST.,LAMAR,CO,81052,,
B009,COLORADO BANK AND TRUST COMPANY OF LA JUNTA,P O BOX 499,LA JUNTA,CO,81050,COLORADO BANK AND TRUST CO OF LJ,PO BOX 499,LA JUNTA,CO,81050,,
B010,HOME STATE BANK,935 NORTH CLEVELAND,LOVELAND,CO,80537,HOME STATE BANK,2695 W. EISENHOWER BLVD.,LOVELAND,CO,80537,,
B011,FARM CREDIT BANK OF WICHITA C O FAR,PO BOX 551,STERLING,CO,80751,FIRST SECURITY BANK,PO BOX 1706,STERLING,CO,80751,,
B012,PFL LIFE INSURANCE,4333 EDGEWOOD RD NE,CEDAR RAPIDS,IA,524995443,AUSA LIFE INS,4333 EDGEWOOD RD NE,CEDAR RAPIDS,IA,524995443,,
B013,FIRST NATIONAL BANK IN FORT,COLLINS (THE),FORT COLLINS,CO,80521,FIRST NATIONAL BANK,205 OAK ST,FORT COLLINS,CO,80521,,
B014,FIRST NATIONAL BANK OF YUMA,,YUMA,CO,80759,FIRST NATIONAL BANK OF YUMA,615 W. 8TH AVENUE,YUMA,CO,80759,,
B015,VECTRA BANK COLORADO,999 18TH ST STE 1800,DENVER,CO,80202,VECTRA BANK COLORADO NATIONAL ASSOCIATION,717 17TH ST STE 300,DENVER,CO,80202,,
B016,BANK ONE COLORADO,1125 SEVENTEENTH ST 4TH FLOOR,DENVER,CO,80202,BANK ONE COLORADO N A,1125 17TH ST,DENVER,CO,80202,,
B017,BANK OF COLORADO,145 W 4TH ST,DELTA,CO,81416,BANK ONE COLORADO,PO BOX 60,DELTA,CO,81416,,
B018,STATE BANK AND TRUST,OF COLORADO SPRINGS,COLORADO SPRINGS,CO,80903,STATE BANK AND TRUST OF,COLORADO SPRINGS,COLORADO SPRINGS,CO,80903,,
