pair_id,label,note,stratum,N_h,weight,is_repeat,_merge
B001,SAME,,lender_band_6_7,4379,6.232374983427535,False,both
B002,DIFFERENT,"ai: PCA vs FLCA — separate Farm Credit charters, trap 3",lender_band_4_6,22220,4.192249003589013,False,both
B003,DIFFERENT,,lender_band_6_7,4379,6.877032905563211,False,both
B004,SAME,,lender_band_4_6,22220,5.200797841605561,False,both
B005,SAME,,lender_band_6_7,4379,6.997314287282044,False,both
B006,DIFFERENT,,lender_band_7_8,2977,7.0360579892723685,False,both
B007,SAME,,lender_band_7_8,2977,7.0882005318462795,False,both
B008,SAME,,lender_band_7_8,2977,7.266663339226072,False,both
B009,SAME,,lender_band_7_8,2977,7.266663339226072,False,both
B010,SAME,,lender_band_4_6,22220,4.165789289654272,False,both
B011,DIFFERENT,,lender_band_4_6,22220,5.205846668601363,False,both
B012,DIFFERENT,,lender_band_7_8,2977,7.995509357463705,False,both
B013,SAME,ai: name spillover into address; truncation,lender_band_4_6,22220,4.192249003589013,False,both
B014,SAME,,lender_band_6_7,4379,6.985007070181695,False,both
B015,SAME,,lender_band_6_7,4379,6.432749202044399,False,both
B016,SAME,,lender_band_4_6,22220,4.192249003589013,False,both
B017,DIFFERENT,"ai: BANK OF vs BANK ONE — near-identical, different banks",lender_band_4_6,22220,4.192249003589013,False,both
B018,SAME,,lender_band_7_8,2977,7.266663339226072,False,both
B019,SAME,,lender_band_4_6,22220,4.192249003589013,False,both
B020,SAME,,lender_band_7_8,2977,7.586011938042235,False,both
B021,SAME,ai: pure truncation to brand — step 1,lender_band_4_6,22220,4.192249003589013,False,both
B022,SAME,,lender_band_7_8,2977,7.800961471829043,False,both
B023,DIFFERENT,,lender_band_7_8,2977,7.0411068162681705,False,both
B024,SAME,,lender_band_7_8,2977,7.24020362529133,False,both
B025,SAME,,lender_band_6_7,4379,6.878091866265182,False,both
B026,SAME,,lender_band_6_7,4379,6.877032905563211,False,both
B027,SAME,,lender_band_4_6,22220,4.192249003589013,False,both
B028,DIFFERENT,ai: both charter-qualified — trap 3 family,lender_band_7_8,2977,7.0360579892723685,False,both
B029,SAME,,lender_band_6_7,4379,6.124726407871393,False,both
B030,SAME,,lender_band_4_6,22220,4.192249003589013,False,both
B031,SAME,,lender_band_6_7,4379,6.876910325062341,False,both
B032,SAME,,lender_band_7_8,2977,7.800961471829043,False,both
B033,DIFFERENT,,lender_band_4_6,22220,5.482477384178753,False,both
B034,SAME,,lender_band_7_8,2977,7.38038128333959,False,both
B035,SAME,,lender_band_6_7,4379,6.876910325062341,False,both
B036,SAME,,lender_band_7_8,2977,7.598748696930378,False,both
B037,DIFFERENT,,lender_band_7_8,2977,7.0360579892723685,False,both
B038,SAME,,lender_band_4_6,22220,4.192249003589013,False,both
B039,DIFFERENT,,lender_band_6_7,4379,6.877032905563211,False,both
B040,SAME,,lender_band_7_8,2977,7.24020362529133,False,both
B041,SAME,,lender_band_4_6,22220,4.6435930341569,False,both
B042,SAME,,lender_band_4_6,22220,4.395605080016608,False,both
B043,SAME,,lender_band_6_7,4379,6.113321869760136,False,both
B044,SAME,,lender_band_4_6,22220,5.205846668601363,False,both
B045,SAME,,lender_band_7_8,2977,7.266663339226072,False,both
B046,SAME,,lender_band_6_7,4379,6.877032905563211,False,both
B047,SAME,,lender_band_4_6,22220,4.6435930341569,False,both
B048,DIFFERENT,ai: both charter-qualified — trap 3 family,lender_band_6_7,4379,6.163400150100372,False,both
B049,SAME,ai: A truncates B's tradename expansion — step 1,lender_band_6_7,4379,6.877032905563211,False,both
B050,SAME,,lender_band_6_7,4379,6.598748696930378,False,both
B051,SAME,,lender_band_7_8,2977,7.423398677968862,False,both
P001,SAME,,debtor_band_7_8,1270,7.328239362326946,False,both
P002,SAME,,debtor_band_7_8,1270,7.420913677069413,False,both
P003,DIFFERENT,,lender_band_2_6,56645,3.529611604643713,False,both
P004,DIFFERENT,,debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P005,SAME,,lender_band_6_8,7356,6.876910325062341,True,both
P006,SAME,,lender_recall_probe,14037,4.6435930341569,True,both
P007,SAME,,lender_band_8_10,6696,8.108984266002048,False,both
P008,DIFFERENT,,lender_band_8_10,6696,9.390064878848165,False,both
P009,SAME,,lender_band_6_8,7356,7.266663339226072,False,both
P010,SAME,,lender_recall_probe,14037,4.6435930341569,False,both
P011,DIFFERENT,,debtor_band_2_4,17870,2.665244202115478,False,both
P012,DIFFERENT,ai: person vs BROS partnership — trap 5,debtor_band_6_7,1220,6.181539126372279,False,both
P013,DIFFERENT,,debtor_band_8_10,5041,8.781649729110278,False,both
P014,SAME,,debtor_recall_probe,2690,5.198521255732965,False,both
P015,DIFFERENT,,debtor_band_2_4,17870,2.0403781365580627,False,both
P016,DIFFERENT,,debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P017,SAME,,debtor_band_6_7,1220,6.0590820173457915,False,both
P018,SAME,,lender_band_6_8,7356,6.877032905563211,False,both
P019,DIFFERENT,,debtor_same_addr_diff_name,4217,9.406515794667692,False,both
P020,DIFFERENT,,lender_band_2_6,56645,3.529611604643713,False,both
P021,SAME,,debtor_band_7_8,1270,7.381010112233154,False,both
P022,DIFFERENT,,debtor_band_8_10,5041,8.781649729110278,False,both
P023,DIFFERENT,,debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P024,SAME,,lender_band_8_10,6696,8.521579071907766,False,both
P025,UNSURE,"ai: I vs II — trap2/trap3 collision, rule undetermined",debtor_band_10_999,4625,15.17569339975146,False,both
P026,DIFFERENT,,debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P027,SAME,,debtor_recall_probe,2690,7.420913677069413,False,both
P028,SAME,,debtor_recall_probe,2690,5.379555363850518,False,both
P029,SAME,,debtor_recall_probe,2690,5.546444559153271,False,both
P030,SAME,,debtor_band_4_6,1478,4.379555363850518,True,both
P031,SAME,,lender_band_8_10,6696,9.434008844597184,True,both
P032,DIFFERENT,,debtor_band_2_4,17870,2.0403781365580627,False,both
P033,SAME,,debtor_band_6_7,1220,6.683948082903207,False,both
P034,DIFFERENT,ai: audit-pass resolution — charter-qualified family rule (matches P163/P081/B028/B048); was UNSURE in pass 1,lender_band_8_10,6696,9.944244413668857,True,both
P035,DIFFERENT,,debtor_same_addr_diff_name,4217,9.406515794667692,False,both
P036,DIFFERENT,,debtor_band_10_999,4625,10.049558532746657,False,both
P037,SAME,,lender_recall_probe,14037,4.6435930341569,True,both
P038,DIFFERENT,,debtor_band_8_10,5041,8.781649729110278,False,both
P039,SAME,ai: chain branches — trap 2 SAME,debtor_same_addr_diff_name,4217,9.406515794667692,False,both
P040,SAME,,debtor_band_10_999,4625,14.550827334194048,False,both
P041,SAME,,debtor_recall_probe,2690,7.381010112233154,False,both
P042,SAME,,lender_recall_probe,14037,4.6435930341569,False,both
P043,DIFFERENT,,debtor_band_10_999,4625,12.922810718924492,False,both
P044,SAME,,lender_recall_probe,14037,4.6435930341569,False,both
P045,SAME,,debtor_band_4_6,1478,5.546444559153271,True,both
P046,DIFFERENT,,debtor_band_8_10,5041,8.781649729110278,False,both
P047,SAME,,debtor_band_7_8,1270,7.044200564357936,False,both
P048,SAME,,debtor_recall_probe,2690,6.683948082903207,False,both
P049,SAME,,debtor_recall_probe,2690,7.381010112233154,False,both
P050,SAME,,lender_recall_probe,14037,5.13085793664515,False,both
P051,SAME,,debtor_band_7_8,1270,7.809555741641832,False,both
P052,SAME,,debtor_recall_probe,2690,7.381010112233154,False,both
P053,SAME,,debtor_recall_probe,2690,6.0590820173457915,False,both
P054,SAME,,debtor_recall_probe,2690,4.729768731475955,False,both
P055,SAME,,debtor_band_6_7,1220,6.806405191929694,False,both
P056,SAME,,debtor_band_10_999,4625,13.122281704785369,True,both
P057,SAME,,debtor_band_7_8,1270,7.381010112233154,False,both
P058,SAME,,lender_band_10_999,5880,10.76443559580393,False,both
P059,DIFFERENT,,debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P060,DIFFERENT,,debtor_band_6_7,1220,6.181539126372279,True,both
P061,SAME,,lender_recall_probe,14037,4.6435930341569,True,both
P062,SAME,,lender_band_6_8,7356,7.423398677968862,False,both
P063,SAME,,debtor_recall_probe,2690,4.273372918978216,False,both
P064,DIFFERENT,,lender_band_10_999,5880,11.06125111581001,False,both
P065,DIFFERENT,,lender_band_6_8,7356,7.995509357463705,False,both
P066,SAME,,debtor_band_6_7,1220,6.806405191929694,False,both
P067,SAME,,lender_band_8_10,6696,8.108984266002048,False,both
P068,DIFFERENT,,lender_band_2_6,56645,3.529611604643713,False,both
P069,DIFFERENT,,debtor_band_6_7,1220,6.181539126372279,False,both
P070,SAME,,lender_band_10_999,5880,11.863971269354844,False,both
P071,DIFFERENT,,lender_band_2_6,56645,5.205846668601363,False,both
P072,SAME,,debtor_band_6_7,1220,6.0590820173457915,False,both
P073,DIFFERENT,,lender_band_2_6,56645,3.529611604643713,False,both
P074,SAME,,debtor_band_8_10,5041,8.781649729110278,False,both
P075,SAME,,debtor_recall_probe,2690,7.005876177790569,False,both
P076,SAME,,debtor_band_7_8,1270,7.420913677069413,True,both
P077,DIFFERENT,,debtor_band_8_10,5041,8.300333349795391,False,both
P078,SAME,,debtor_band_6_7,1220,6.0590820173457915,False,both
P079,DIFFERENT,,debtor_band_2_4,17870,2.0403781365580627,False,both
P080,DIFFERENT,,debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P081,DIFFERENT,ai: Norwest city-bank vs state-bank — trap 3 family,lender_band_10_999,5880,11.06125111581001,False,both
P082,SAME,,lender_band_2_6,56645,2.958398205697803,False,both
P083,DIFFERENT,,debtor_band_6_7,1220,6.181539126372279,False,both
P084,SAME,,debtor_recall_probe,2690,6.796047611511998,False,both
P085,SAME,,lender_band_6_8,7356,6.748202233767734,False,both
P086,DIFFERENT,,debtor_band_10_999,4625,10.049558532746657,False,both
P087,SAME,,debtor_band_7_8,1270,7.420913677069413,False,both
P088,DIFFERENT,,debtor_band_10_999,4625,10.674424598304071,False,both
P089,DIFFERENT,,debtor_band_2_4,17870,2.0403781365580627,False,both
P090,SAME,,lender_band_6_8,7356,7.440339856648523,False,both
P091,SAME,,debtor_band_4_6,1478,5.305436459649477,True,both
P092,SAME,,debtor_recall_probe,2690,4.379555363850518,False,both
P093,DIFFERENT,,debtor_band_10_999,4625,10.049558532746657,False,both
P094,SAME,,debtor_recall_probe,2690,6.005876177790569,False,both
P095,SAME,,lender_band_10_999,5880,11.691808169306832,False,both
P096,DIFFERENT,,debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P097,SAME,,debtor_recall_probe,2690,4.754689298293102,False,both
P098,SAME,,lender_recall_probe,14037,4.6435930341569,False,both
P099,DIFFERENT,,debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P100,SAME,,lender_band_10_999,5880,13.12711661343052,False,both
P101,SAME,,debtor_band_4_6,1478,4.729768731475955,True,both
P102,SAME,,debtor_band_7_8,1270,7.809555741641832,False,both
P103,SAME,,lender_band_10_999,5880,13.12711661343052,False,both
P104,SAME,,lender_band_6_8,7356,7.266663339226072,False,both
P105,SAME,,debtor_band_7_8,1270,7.420913677069413,False,both
P106,DIFFERENT,,lender_band_2_6,56645,3.529611604643713,False,both
P107,DIFFERENT,,debtor_band_2_4,17870,2.665244202115478,False,both
P108,SAME,,debtor_band_4_6,1478,4.169726797571946,False,both
P109,DIFFERENT,,lender_band_6_8,7356,6.432749202044399,False,both
P110,SAME,,debtor_band_7_8,1270,7.381010112233154,False,both
P111,DIFFERENT,"ai: person vs eponymous firm — trap 5, no lookup allowed",debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P112,SAME,,debtor_band_7_8,1270,7.381010112233154,False,both
P113,SAME,,lender_band_10_999,5880,12.086363690691291,False,both
P114,DIFFERENT,,lender_band_2_6,56645,5.205846668601363,False,both
P115,DIFFERENT,,debtor_band_2_4,17870,2.665244202115478,False,both
P116,SAME,,debtor_band_7_8,1270,7.381010112233154,True,both
P117,SAME,,lender_band_6_8,7356,6.876910325062341,False,both
P118,SAME,,debtor_band_6_7,1220,6.181539126372279,False,both
P119,DIFFERENT,,debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P120,SAME,,lender_band_10_999,5880,16.46098888027479,False,both
P121,DIFFERENT,,debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P122,SAME,,lender_band_10_999,5880,13.12711661343052,False,both
P123,SAME,,debtor_recall_probe,2690,7.381010112233154,False,both
P124,SAME,,debtor_band_10_999,4625,13.122281704785369,False,both
P125,SAME,,lender_recall_probe,14037,4.6435930341569,False,both
P126,SAME,,debtor_recall_probe,2690,5.379555363850518,False,both
P127,SAME,,debtor_band_4_6,1478,4.379555363850518,False,both
P128,DIFFERENT,,debtor_band_10_999,4625,10.049558532746657,False,both
P129,SAME,,lender_band_6_8,7356,7.266663339226072,False,both
P130,SAME,,debtor_band_4_6,1478,4.754689298293102,False,both
P131,SAME,,debtor_band_4_6,1478,4.729768731475955,False,both
P132,DIFFERENT,,debtor_band_2_4,17870,2.0403781365580627,False,both
P133,SAME,,lender_band_10_999,5880,13.12711661343052,False,both
P134,SAME,,lender_band_8_10,6696,8.94289840318372,False,both
P135,SAME,,lender_band_8_10,6696,9.434008844597184,False,both
P136,SAME,,debtor_recall_probe,2690,5.546444559153271,False,both
P137,DIFFERENT,,debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P138,SAME,,lender_band_2_6,56645,4.6435930341569,False,both
P139,UNSURE,"ai: record B is an ID string, not a name — data defect, rule undetermined",debtor_same_addr_diff_name,4217,8.781649729110278,False,both
P140,SAME,,lender_band_10_999,5880,13.12711661343052,True,both
P141,DIFFERENT,,debtor_same_addr_diff_name,4217,9.406515794667692,False,both
P142,SAME,ai: FKA self-identifies same entity; prefix truncation,lender_band_8_10,6696,8.108984266002048,True,both
P143,DIFFERENT,,debtor_same_addr_diff_name,4217,8.300333349795391,False,both
P144,SAME,,lender_band_8_10,6696,8.94289840318372,False,both
P145,SAME,,lender_recall_probe,14037,4.6435930341569,False,both
P146,SAME,,debtor_band_6_7,1220,6.181539126372279,True,both
P147,DIFFERENT,,lender_band_2_6,56645,3.055227413178509,False,both
P148,SAME,,lender_band_10_999,5880,11.086363690691291,False,both
P149,SAME,,lender_band_6_8,7356,7.266663339226072,False,both
P150,SAME,,lender_recall_probe,14037,5.371598863821659,False,both
P151,DIFFERENT,,debtor_band_8_10,5041,8.300333349795391,False,both
P152,SAME,,debtor_band_6_7,1220,6.005876177790569,False,both
P153,DIFFERENT,,debtor_band_2_4,17870,2.0403781365580627,False,both
P154,DIFFERENT,,debtor_band_2_4,17870,2.665244202115478,False,both
P155,DIFFERENT,,debtor_band_2_4,17870,2.0403781365580627,False,both
P156,DIFFERENT,,lender_band_2_6,56645,5.205846668601363,False,both
P157,SAME,,debtor_recall_probe,2690,4.754689298293102,False,both
P158,DIFFERENT,ai: state vs city charter — trap 3 family,lender_band_6_8,7356,6.163400150100372,False,both
P159,DIFFERENT,,debtor_same_addr_diff_name,4217,9.406515794667692,False,both
P160,SAME,,lender_band_8_10,6696,8.108984266002048,False,both
P161,SAME,,debtor_band_4_6,1478,5.198521255732965,False,both
P162,SAME,,lender_recall_probe,14037,2.8083328864900925,False,both
P163,DIFFERENT,"ai: city-named vs state-named — trap 3 family, consistent with P081/P158",lender_band_8_10,6696,9.944244413668857,False,both
P164,SAME,,debtor_band_6_7,1220,6.683948082903207,False,both
P165,SAME,,lender_recall_probe,14037,4.6435930341569,False,both
P166,SAME,,lender_recall_probe,14037,7.800961471829043,False,both
P167,SAME,,debtor_band_8_10,5041,8.434421807199247,False,both
P168,DIFFERENT,,debtor_band_2_4,17870,2.0403781365580627,False,both
P169,DIFFERENT,,debtor_band_2_4,17870,2.665244202115478,False,both
P170,SAME,,lender_band_8_10,6696,8.995091127454797,False,both
P171,SAME,,debtor_recall_probe,2690,7.420913677069413,False,both
P172,DIFFERENT,,debtor_band_8_10,5041,8.300333349795391,False,both
P173,SAME,,debtor_recall_probe,2690,7.420913677069413,False,both
P174,DIFFERENT,,debtor_band_10_999,4625,10.049558532746657,False,both
P175,DIFFERENT,,debtor_band_10_999,4625,10.049558532746657,False,both
P176,SAME,,debtor_band_4_6,1478,4.057627268963155,False,both
P177,SAME,,debtor_recall_probe,2690,5.57365519017555,False,both
P178,SAME,,lender_band_6_8,7356,7.800961471829043,False,both
P179,SAME,,debtor_band_7_8,1270,7.420913677069413,False,both
P180,SAME,,debtor_band_7_8,1270,7.381010112233154,False,both
P181,DIFFERENT,,debtor_band_2_4,17870,2.0403781365580627,False,both
