pair_id,stratum,N_h,weight
B001,lender_band_6_7,4379,6.232374983427535
B002,lender_band_4_6,22220,4.192249003589013
B003,lender_band_6_7,4379,6.877032905563211
B004,lender_band_4_6,22220,5.200797841605561
B005,lender_band_6_7,4379,6.997314287282044
B006,lender_band_7_8,2977,7.0360579892723685
B007,lender_band_7_8,2977,7.0882005318462795
B008,lender_band_7_8,2977,7.2666633392260715
B009,lender_band_7_8,2977,7.2666633392260715
B010,lender_band_4_6,22220,4.165789289654272
B011,lender_band_4_6,22220,5.205846668601363
B012,lender_band_7_8,2977,7.995509357463705
B013,lender_band_4_6,22220,4.192249003589013
B014,lender_band_6_7,4379,6.985007070181695
B015,lender_band_6_7,4379,6.432749202044399
B016,lender_band_4_6,22220,4.192249003589013
B017,lender_band_4_6,22220,4.192249003589013
B018,lender_band_7_8,2977,7.2666633392260715
B019,lender_band_4_6,22220,4.192249003589013
B020,lender_band_7_8,2977,7.586011938042235
B021,lender_band_4_6,22220,4.192249003589013
B022,lender_band_7_8,2977,7.800961471829043
B023,lender_band_7_8,2977,7.0411068162681705
B024,lender_band_7_8,2977,7.24020362529133
B025,lender_band_6_7,4379,6.878091866265182
B026,lender_band_6_7,4379,6.877032905563211
B027,lender_band_4_6,22220,4.192249003589013
B028,lender_band_7_8,2977,7.0360579892723685
B029,lender_band_6_7,4379,6.124726407871393
B030,lender_band_4_6,22220,4.192249003589013
B031,lender_band_6_7,4379,6.876910325062341
B032,lender_band_7_8,2977,7.800961471829043
B033,lender_band_4_6,22220,5.482477384178753
B034,lender_band_7_8,2977,7.38038128333959
B035,lender_band_6_7,4379,6.876910325062341
B036,lender_band_7_8,2977,7.598748696930378
B037,lender_band_7_8,2977,7.0360579892723685
B038,lender_band_4_6,22220,4.192249003589013
B039,lender_band_6_7,4379,6.877032905563211
B040,lender_band_7_8,2977,7.24020362529133
B041,lender_band_4_6,22220,4.6435930341569
B042,lender_band_4_6,22220,4.395605080016608
B043,lender_band_6_7,4379,6.113321869760136
B044,lender_band_4_6,22220,5.205846668601363
B045,lender_band_7_8,2977,7.2666633392260715
B046,lender_band_6_7,4379,6.877032905563211
B047,lender_band_4_6,22220,4.6435930341569
B048,lender_band_6_7,4379,6.163400150100372
B049,lender_band_6_7,4379,6.877032905563211
B050,lender_band_6_7,4379,6.598748696930378
B051,lender_band_7_8,2977,7.423398677968862
