pair_id,region,question,A_name,B_name,agent_label,rule,note
CO0001,CO,ENTITY - same firm?,CV CONSTRUCTION,VOLGAMORE CONSTRUCTION,DIFFERENT,R1,
CO0002,CO,ENTITY - same firm?,"NORTHERN COLORADO CONSTRUCTION SERVICES, INC.","NORTHERN COLORADO CONSTRUCTORS, INC.",DIFFERENT,R1,"CONSTRUCTION SERVICES vs CONSTRUCTORS are distinct stems, not a truncation; different cities."
CO0003,CO,ENTITY - same firm?,"Rocky Mountain Cattle Company, LLC",ROCKY MOUNTAIN NATIVE PLANTS COMPANY,DIFFERENT,R1,
CO0004,CO,ENTITY - same firm?,SEMA CONSTRUCTION,CONSTRUCTION SERVICES CO LLC,DIFFERENT,R1,
CO0005,CO,ENTITY - same firm?,"DOWN TO EARTH DESIGNS, LLC",DOWN TO EARTH LANDSCAPES LLC,DIFFERENT,R1,DESIGNS vs LANDSCAPES; Wheat Ridge vs Boulder.
CO0006,CO,ENTITY - same firm?,Colorado Cow LLC,"Colorado Powerline, Inc.",DIFFERENT,R1,
CO0007,CO,ENTITY - same firm?,DIA CONSTRUCTION,Hidden Mesa Construction,DIFFERENT,R1,
CO0008,CO,ENTITY - same firm?,"American Drilling Services, Inc.","AMERICAN DRILLING SYSTEMS INC, A CORPORATION",DIFFERENT,R1,"SERVICES vs SYSTEMS are different words, not a typo; Howard vs Loveland."
CO0009,CO,ENTITY - same firm?,COLORADO CONCRETE,"Colorado Concrete Crushing, LLC",DIFFERENT,R1,"CRUSHING is a distinct stem word; Denver vs Colorado Springs, no shared address."
CO0010,CO,ENTITY - same firm?,ROCKY MOUNTAIN FIELD SERVICE INC,ROCKY MOUNTAIN FORESTRY SERVICES LLC,DIFFERENT,R1,
CO0011,CO,ENTITY - same firm?,DANIELS CONCRETE,JLA CONCRETE,DIFFERENT,R1,
CO0012,CO,ENTITY - same firm?,"B & E SERVICES, INC.","B & R SEPTIC SERVICE, INC.",DIFFERENT,P7,Single letters are content in a company name: B&E != B&R.
CO0013,CO,ENTITY - same firm?,ALPINE SITE SERVICES INC.,"Alpine Tree Service, LLC",DIFFERENT,R1,
CO0014,CO,ENTITY - same firm?,"ROCKY MOUNTAIN FIELD SERVICE, INC.","ROCKY MOUNTAIN STEEL PIERING, INC.",DIFFERENT,R1,
CO0015,CO,ENTITY - same firm?,HASELDEN CONSTRUCTION,STONE CONSTRUCTION,DIFFERENT,R1,
CO0016,CO,ENTITY - same firm?,Colorado Concrete Crushing LLC,"Colorado Concrete Pumping, LLC",DIFFERENT,R1,CRUSHING vs PUMPING; Colorado Springs vs Loveland.
CO0017,CO,ENTITY - same firm?,SAIBER CONSTRUCTION,UNITED CONSTRUCTION,DIFFERENT,R1,
CO0018,CO,ENTITY - same firm?,MOLTZ CONSTRUCTION,OLIN CONSTRUCTION,DIFFERENT,R1,
CO0019,CO,ENTITY - same firm?,FRONTIER DRILLING LLC,"FRONTIER PAVING, INC.",DIFFERENT,R1,
CO0020,CO,ENTITY - same firm?,"ROCKY MOUNTAIN FIBER PLUS, INC.",ROCKY MOUNTAIN PRESTAIN INC.,DIFFERENT,R1,
CO0021,CO,ENTITY - same firm?,"ALPINE CONCRETE INC, A CORPORATION","ALPINE ELECTRIC, INC",DIFFERENT,R1,
CO0022,CO,ENTITY - same firm?,PRODIGY EXCAVATING,TRINITY EXCAVATING,DIFFERENT,R1,
CO0023,CO,ENTITY - same firm?,"AMERICAN AUTOMATION, INC.",American Demolition Inc,DIFFERENT,R1,
CO0024,CO,ENTITY - same firm?,"CEC SOLAR #1062, LLC","CEC SOLAR #1118, LLC",DIFFERENT,R7,"CEC SOLAR #1062 vs #1118: separately chartered numbered SPEs, per F3 reasoning."
CO0025,CO,ENTITY - same firm?,"ROCKY MOUNTAIN EXCAVATING, INC.","ROCKY MOUNTAIN TOX, LLC",DIFFERENT,R1,
CO0026,CO,ENTITY - same firm?,J T KOPP CONSTRUCTION,SOLID CONSTRUCTION,DIFFERENT,R1,
CO0027,CO,ENTITY - same firm?,"AMERICAN SEPTIC & SEWER, LLC",AMERICAN SEPTIC SERVICE INC,DIFFERENT,R1,SEPTIC & SEWER LLC vs SEPTIC SERVICE INC; different cities and suffixes.
CO0028,CO,ENTITY - same firm?,EBERT CONSTRUCTION,JK CONSTRUCTION,DIFFERENT,R1,
CO0029,CO,ENTITY - same firm?,JS CONCRETE,CONCRETE LEASING LLC,DIFFERENT,R1,
CO0030,CO,ENTITY - same firm?,ROCKY MOUNTAIN INDUSTRIES L.L.C.,"ROCKY MOUNTAIN STABLES, LLC",DIFFERENT,R1,
CO0031,CO,ENTITY - same firm?,GUARANTEE ELECTRICAL CONTRAC,GUARANTEE ELECTRICAL CONTRACT,DIFFERENT,R5,"Both truncations of one name (R2), but ZIPs 80011 vs 80239 and no shared address."
CO0032,CO,ENTITY - same firm?,COLORADO DREAMSCAPES INC,COLORADO RESHARES LLC,DIFFERENT,R1,
CO0033,CO,ENTITY - same firm?,"COLORADO CRUSHING, INC.",Colorado Sleigh Company LLC,DIFFERENT,R1,
CO0034,CO,ENTITY - same firm?,"KIRKLAND CONSTRUCTION, R.L.L.P.","ROBINS CONSTRUCTION, LLLP",DIFFERENT,R1,
CO0035,CO,ENTITY - same firm?,"CONCRETE CONCEPTS, LLC",RICOS CONCRETE,DIFFERENT,R1,
CO0036,CO,ENTITY - same firm?,ROCKY MOUNTAIN LEASING LLC,"ROCKY MOUNTAIN SEPTIC, INC.",DIFFERENT,R1,
CO0037,CO,ENTITY - same firm?,DOLORES COUNTY,WELD COUNTY,DIFFERENT,R1,Dolores County and Weld County are separate bodies.
CO0038,CO,ENTITY - same firm?,"ROCKY MOUNTAIN DISPOSAL & RECYCLING, LLC",ROCKY MOUNTAIN LEASING LLC,DIFFERENT,R1,
CO0039,CO,ENTITY - same firm?,BACKHOE SERVICES,"BACKHOE SERVICES BENNETT, INC.",DIFFERENT,R5,"Even reading A as a truncation of B, Commerce City vs Bennett and no shared address."
CO0040,CO,ENTITY - same firm?,HIGH COUNTRY EQUIPMENT LLC,HIGH COUNTRY MFG INC,DIFFERENT,R1,
CO0041,CO,ENTITY - same firm?,MIDWEST EXCAVATING,TOWNSEND EXCAVATING,DIFFERENT,R1,
CO0042,CO,ENTITY - same firm?,DECHANT BROTHERS,HAYTHORN BROTHERS,DIFFERENT,R1,
CO0043,CO,ENTITY - same firm?,EXCAVATION SERVICES LLC,SIERRA EXCAVATION,DIFFERENT,R1,
